deaths removed sum_inc end_inc mob_a q_a test_a rew
0.0 0.0 2.8e6 200000.0 1 1 1 -1834.15181375
13012.0 200000.0 2.770039e6 183051.0 1 1 1 -1996.3025850000001
25866.0 399009.0 2.757444e6 199268.0 1 1 1 -2144.9014150000003
38481.0 597128.0 2.760842e6 214132.0 1 1 1 -2982.215305
51453.0 794102.0 2.84874e6 297844.0 1 1 1 -2219.31519875
64606.0 990092.0 2.861156e6 221559.0 1 1 1 -2368.399825
77983.0 1.185212e6 2.889119e6 236460.0 1 1 1 -2214.9473924999998
91467.0 1.379298e6 2.902663e6 221114.0 1 1 1 -2860.6728475
104970.0 1.572413e6 2.981723e6 285678.0 1 1 1 -2158.81986125
118972.0 1.76456e6 2.991063e6 215489.0 1 1 1 -2882.03
133013.0 1.955715e6 3.073667e6 287800.0 1 1 1 -1537.1043925000001
147464.0 2.145878e6 3.022367e6 153314.0 1 1 1 -1814.8241050000001
161855.0 2.335079e6 2.999859e6 181084.0 1 1 1 -1428.442575
175873.0 2.523505e6 2.939875e6 142460.0 1 1 1 -1865.063905
189598.0 2.710878e6 2.924901e6 186124.0 1 1 1 -2818.9056187500005
203373.0 2.882379e6 3.02112e6 281495.0 1 1 1 -1562.9046225
217652.0 3.069032e6 2.976086e6 155898.0 1 1 1 -1127.076165
231475.0 3.269652e6 2.873975e6 112332.0 1 1 1 -1312.58062625
244463.0 3.548831e6 2.712709e6 130901.0 1 1 1 -1095.2282275
256910.0 3.756319e6 2.601956e6 109182.0 1 1 1 -1205.9605825
268871.0 3.977742e6 2.488838e6 120266.0 1 1 1 -950.8189587500001
280353.0 4.185034e6 2.364831e6 94767.0 1 1 1 -1098.9762612499999
290710.0 4.452693e6 2.196424e6 109609.0 1 1 1 -552.7282475000001
300788.0 4.654507e6 2.03953e6 54998.0 1 1 1 -515.5446350000001
309750.0 4.924138e6 1.812245e6 51308.0 1 1 1 -630.94583125
317979.0 5.067798e6 1.723221e6 62865.0 1 1 1 -431.5606725
325847.0 5.237369e6 1.58872e6 42938.0 1 1 1 -380.26352875000003
333152.0 5.370826e6 1.485781e6 37823.0 1 1 1 -319.94075375000006
339996.0 5.545024e6 1.336542e6 31803.0 1 1 1 -273.5145
345278.0 5.808627e6 1.094857e6 27200.0 1 1 1 -146.3153675
350067.0 5.954693e6 958496.0 14494.0 1 1 1 -142.80694624999998
354304.0 6.059934e6 863175.0 14157.0 1 1 1 -137.83009
358036.0 6.1825e6 750549.0 13672.0 1 1 1 -111.2697825
361380.0 6.284855e6 655876.0 11026.0 1 1 1 -72.11916000000001
364061.0 6.397442e6 547736.0 7128.0 1 1 1 -57.05979
366352.0 6.48622e6 462299.0 5632.0 1 1 1 -36.903285000000004
368187.0 6.588908e6 361404.0 3628.0 1 1 1 -20.0459375
369721.0 6.640426e6 310302.0 1950.0 1 1 1 -22.34573375
370973.0 6.688535e6 263128.0 2187.0 1 1 1 -14.00845125
371920.0 6.747393e6 204684.0 1361.0 1 1 1 -10.320743750000002
372758.0 6.787632e6 164602.0 995.0 1 1 1 -0.3269000000000001
373421.0 6.823037e6 129454.0 920.0 1 1 1 -0.27966125000000003
373897.0 6.8528e6 99744.0 529.0 1 1 1 -0.25397375
374271.0 6.878269e6 74280.0 379.0 1 1 1 -0.23198625000000003
374558.0 6.891853e6 60598.0 189.0 1 1 1 -0.22207625000000003
374805.0 6.905142e6 47323.0 261.0 1 1 1 -0.19915625000000003
374961.0 6.917961e6 34473.0 125.0 1 1 1 -0.19009750000000003
375081.0 6.928284e6 24108.0 78.0 1 1 1 -0.18033875000000002
375162.0 6.934952e6 17430.0 71.0 1 1 1 -0.17656000000000005
375228.0 6.940252e6 12112.0 48.0 1 1 1 -0.17104000000000005
375272.0 6.94365e6 8702.0 32.0 1 1 1 -0.16926750000000004
375309.0 6.945499e6 6830.0 14.0 1 1 1 -0.16502500000000003
375329.0 6.947539e6 4790.0 20.0 1 1 1 -0.16651750000000004
375355.0 6.948839e6 3478.0 14.0 1 1 1 -0.16325250000000002
375368.0 6.949762e6 2544.0 2.0 1 1 1 -0.16175750000000003
375375.0 6.950631e6 1674.0 6.0 1 1 1 -0.16176000000000004
375382.0 6.951126e6 1180.0 8.0 1 1 1 -0.16075000000000003
375385.0 6.95148e6 823.0 0.0 1 1 1 -0.16100000000000003
375389.0 6.951655e6 644.0 0.0 1 1 1 -0.16000125000000004
375389.0 6.951899e6 401.0 1.0 1 1 1 -0.16050250000000002
375391.0 6.952015e6 285.0 2.0 1 1 1 -0.16075000000000003
375394.0 6.952092e6 205.0 0.0 1 1 1 -0.16000000000000003
375394.0 6.952158e6 139.0 0.0 1 1 1 -0.16000000000000003
375394.0 6.952205e6 92.0 0.0 1 1 1 -0.16000000000000003
375394.0 6.952235e6 62.0 0.0 1 1 1 -0.16000000000000003
375394.0 6.952249e6 48.0 0.0 1 1 1 -0.16000000000000003
375394.0 6.952266e6 31.0 0.0 1 1 1 -0.16000000000000003
375394.0 6.952279e6 18.0 0.0 1 1 1 -0.16000000000000003
375394.0 6.952281e6 16.0 0.0 1 1 1 -0.16000000000000003
375394.0 6.952286e6 11.0 0.0 1 1 1 -0.16000000000000003
375394.0 6.952294e6 3.0 0.0 1 1 1 -0.16000000000000003
375394.0 6.952294e6 3.0 0.0 1 1 1 -0.16000000000000003
375394.0 6.952294e6 3.0 0.0 1 1 1 -0.16000000000000003
375394.0 6.952295e6 2.0 0.0 1 1 1 -0.16000000000000003
375394.0 6.952297e6 0.0 0.0 1 1 1 -0.16000000000000003
375394.0 6.952297e6 0.0 0.0 1 1 1 -0.16000000000000003
375394.0 6.952297e6 0.0 0.0 1 1 1 -0.16000000000000003
375394.0 6.952297e6 0.0 0.0 1 1 1 -0.16000000000000003
375394.0 6.952297e6 0.0 0.0 1 1 1 -0.16000000000000003
375394.0 6.952297e6 0.0 0.0 1 1 1 -0.16000000000000003
375394.0 6.952297e6 0.0 0.0 1 1 1 -0.16000000000000003
375394.0 6.952297e6 0.0 0.0 1 1 1 -0.16000000000000003
375394.0 6.952297e6 0.0 0.0 1 1 1 -0.16000000000000003
375394.0 6.952297e6 0.0 0.0 1 1 1 -0.16000000000000003
375394.0 6.952297e6 0.0 0.0 1 1 1 -0.16000000000000003
375394.0 6.952297e6 0.0 0.0 1 1 1 -0.16000000000000003
375394.0 6.952297e6 0.0 0.0 1 1 1 -0.16000000000000003
375394.0 6.952297e6 0.0 0.0 1 1 1 -0.16000000000000003
375394.0 6.952297e6 0.0 0.0 1 1 1 -0.16000000000000003
375394.0 6.952297e6 0.0 0.0 1 1 1 -0.16000000000000003
375394.0 6.952297e6 0.0 0.0 1 1 1 -0.16000000000000003
375394.0 6.952297e6 0.0 0.0 1 1 1 -0.16000000000000003
375394.0 6.952297e6 0.0 0.0 1 1 1 -0.16000000000000003
375394.0 6.952297e6 0.0 0.0 1 1 1 -0.16000000000000003
375394.0 6.952297e6 0.0 0.0 1 1 1 -0.16000000000000003
375394.0 6.952297e6 0.0 0.0 1 1 1 -0.16000000000000003
375394.0 6.952297e6 0.0 0.0 1 1 1 -0.16000000000000003
375394.0 6.952297e6 0.0 0.0 1 1 1 -0.16000000000000003
375394.0 6.952297e6 0.0 0.0 1 1 1 -0.16000000000000003
375394.0 6.952297e6 0.0 0.0 1 1 1 -0.16000000000000003
