deaths removed sum_inc end_inc mob_a q_a test_a rew
0.0 0.0 2.8e6 200000.0 1 5 5 -1832.3445575
13026.0 200000.0 2.76942e6 182446.0 1 5 5 -1446.0150225
26045.0 399030.0 2.701589e6 144218.0 1 5 5 -1927.76550125
38505.0 597065.0 2.683495e6 192401.0 1 5 5 -1358.45309375
51040.0 794044.0 2.609456e6 135475.0 1 5 5 -1381.99305125
63083.0 990034.0 2.539264e6 137841.0 1 5 5 -1830.0900675
74770.0 1.185063e6 2.515202e6 182654.0 1 5 5 -1031.28098625
86220.0 1.379076e6 2.412528e6 102789.0 1 5 5 -939.6067875000001
97379.0 1.572196e6 2.301879e6 93630.0 1 5 5 -995.24376125
107898.0 1.764225e6 2.19854e6 99209.0 1 5 5 -1217.32703
118039.0 1.955535e6 2.118513e6 121424.0 1 5 5 -678.02189125
127669.0 2.145682e6 1.986249e6 67513.0 1 5 5 -871.86813625
136747.0 2.334959e6 1.874803e6 86909.0 1 5 5 -696.92979125
145199.0 2.523283e6 1.74746e6 69433.0 1 5 5 -616.1129625000001
152944.0 2.71047e6 1.613898e6 61370.0 1 5 5 -641.2908737500001
160228.0 2.881489e6 1.499494e6 63899.0 1 5 5 -491.5319225
166991.0 3.01656e6 1.406598e6 48938.0 1 5 5 -335.67621249999996
173129.0 3.196952e6 1.253438e6 33370.0 1 5 5 -508.17228750000004
178765.0 3.323808e6 1.171576e6 50630.0 1 5 5 -245.595735
183906.0 3.452969e6 1.061662e6 24388.0 1 5 5 -210.35610375000002
188306.0 3.62419e6 906924.0 20883.0 1 5 5 -211.20447125
192339.0 3.720536e6 827522.0 20977.0 1 5 5 -155.228735
196057.0 3.808141e6 751587.0 15388.0 1 5 5 -204.1608625
199399.0 3.901105e6 675571.0 20290.0 1 5 5 -136.531925
202259.0 4.014939e6 572417.0 13540.0 1 5 5 -112.20964375000001
204842.0 4.078253e6 517635.0 11115.0 1 5 5 -82.83798499999999
207033.0 4.159671e6 442214.0 8188.0 1 5 5 -81.65659624999999
208939.0 4.224775e6 383281.0 8077.0 1 5 5 -86.5989725
210572.0 4.282263e6 332738.0 8578.0 1 5 5 -46.34369875
211964.0 4.342057e6 276111.0 4559.0 1 5 5 -41.44159125
213190.0 4.387899e6 233116.0 4073.0 1 5 5 -44.13768625
214159.0 4.419089e6 205306.0 4349.0 1 5 5 -40.3449675
214959.0 4.466538e6 161031.0 3974.0 1 5 5 -32.5449975
215603.0 4.48927e6 140853.0 3198.0 1 5 5 -26.9315475
216196.0 4.508836e6 123332.0 2638.0 1 5 5 -25.16683
216691.0 4.52846e6 105677.0 2464.0 1 5 5 -16.642265000000002
217172.0 4.542863e6 92405.0 1612.0 1 5 5 -0.49173749999999994
217534.0 4.561904e6 73992.0 990.0 1 5 5 -0.47956125
217846.0 4.574587e6 62246.0 1249.0 1 5 5 -0.46664625
218108.0 4.584978e6 52510.0 917.0 1 5 5 -0.46002375
218345.0 4.592652e6 45218.0 619.0 1 5 5 -0.45390249999999993
218557.0 4.600222e6 38158.0 722.0 1 5 5 -0.4372025
218704.0 4.60829e6 30305.0 362.0 1 5 5 -0.43804999999999994
218854.0 4.612567e6 26318.0 440.0 1 5 5 -0.42624749999999995
218957.0 4.616369e6 22811.0 398.0 1 5 5 -0.42366875
219050.0 4.62045e6 18972.0 335.0 1 5 5 -0.41733375
219118.0 4.624145e6 15476.0 267.0 1 5 5 -0.42146124999999995
